,eval_loss,eval_wer,eval_runtime,eval_samples_per_second,eval_steps_per_second
0,0.4856463372707367,96.1439588688946,106.0806,3.856,0.123
1,0.5560103058815002,95.37275064267352,102.3939,3.994,0.127
2,0.5849088430404663,96.52956298200515,104.341,3.92,0.125
3,0.5962932705879211,95.88688946015425,103.5862,3.948,0.125
